Method,"
data05",data06,data07,data08
CARD,0.111115,0.127353,0.126309,0.11292
cell2location,19.048556,20.854698,19.750822,21.143422
DeconRNASeq,0.083631,0.106586,0.101337,0.108194
DestVI,5.807431,6.012599,5.998612,6.094986
DWLS,8.068868,7.658,7.091497,6.873622
SVR,0.021198,0.023915,0.021216,0.019791
RCTD,2.906915,2.726758,2.696107,2.656367
SCDC,1.034925,1.217379,1.415277,1.380202
SpatialDWLS,1.886053,1.749376,3.013424,2.621131
SPOTlight,1.565766,1.595714,1.606481,1.57863
STdeconvolve,0.541195,0.489478,0.438781,0.458736
